nh,param_bound,seed,n_params,popsize,maxiter,fevals,ncores,time_sec,val_nll,auc,bkg_rejection_95,final_valid_fraction,mean_valid_fraction,status
3,2.0,2,35,14,214,2996,8,61.349507093429565,4.985671662905175,0.8928771060869567,0.59627,1.0,0.9702937249666221,ok
3,2.0,3,35,14,214,2996,8,58.35821342468262,5.063398591890407,0.8886334007608696,0.56897,1.0,0.9586114819759679,ok
3,2.0,4,35,14,214,2996,8,55.11510729789734,5.037838455901202,0.8927318604347825,0.5992,1.0,0.94826435246996,ok
3,2.0,5,35,14,214,2996,8,47.15337109565735,4.780188880427192,0.9034727517391304,0.58544,1.0,0.9676234979973297,ok
3,3.0,1,35,14,214,2996,8,51.2637779712677,5.0744362754718075,0.8889808470652174,0.56822,1.0,0.8795060080106809,ok
3,3.0,2,35,14,214,2996,8,52.73542547225952,4.964905248394719,0.8957169929347826,0.59017,1.0,0.9259012016021362,ok
3,3.0,3,35,14,214,2996,8,48.03217792510986,4.812001221466869,0.8936292970652174,0.53605,1.0,0.9269025367156208,ok
3,3.0,4,35,14,214,2996,8,46.31577181816101,4.534510568261411,0.8996796152173913,0.52637,1.0,0.9115487316421896,ok
3,3.0,5,35,14,214,,8,90.0320234298706,1000000000.0,,,,,train_failed
3,5.0,1,35,14,214,,8,64.72199249267578,1000000000.0,,,,,train_failed
3,5.0,2,35,14,214,2996,8,40.93842172622681,4.460244272370227,0.9050542540217392,0.61816,1.0,0.9178905206942591,ok
3,5.0,3,35,14,214,2996,8,36.981314182281494,4.535528836483903,0.885151337173913,0.51078,1.0,0.8701602136181575,ok
3,5.0,4,35,14,214,2996,8,38.597923040390015,4.492221725713674,0.9071571906521738,0.58295,1.0,0.8548064085447263,ok
3,5.0,5,35,14,214,2996,8,35.20341920852661,4.53361850944279,0.9184968786956522,0.68339,1.0,0.8634846461949265,ok
3,8.0,1,35,14,214,2996,8,41.73114228248596,7.5493144532725385,0.8472940617391305,0.40938,0.7142857142857143,0.7159546061415221,ok
3,8.0,2,35,14,214,2996,8,43.34521198272705,5.039887716341642,0.8663653002173912,0.59001,1.0,0.880173564753004,ok
3,8.0,3,35,14,214,2996,8,35.347888708114624,4.641852433690634,0.8889403009782609,0.55252,1.0,0.8297730307076102,ok
3,8.0,4,35,14,214,,8,100.30073285102844,1000000000.0,,,,,train_failed
3,8.0,5,35,14,214,2996,8,36.076589584350586,5.48169334834613,0.8684126239130435,0.50764,0.9285714285714286,0.7630173564753003,ok
4,1.0,1,44,15,200,3000,8,243.20036697387695,5.060500165832099,0.8952832516304348,0.58546,1.0,0.9683333333333334,ok
4,1.0,2,44,15,200,3000,8,395.7150967121124,5.0616518374518185,0.8899623091304348,0.58082,1.0,0.9830000000000001,ok
4,1.0,3,44,15,200,3000,8,446.20617485046387,5.072714411810366,0.8881003690217391,0.56357,1.0,0.9776666666666668,ok
4,1.0,4,44,15,200,3000,8,370.8598601818085,5.075935728803999,0.888840862173913,0.57071,1.0,0.9726666666666667,ok
4,1.0,5,44,15,200,3000,8,226.78720498085022,5.067505765835014,0.8895219669565217,0.57066,1.0,0.9566666666666669,ok
4,2.0,1,44,15,200,3000,8,169.84668898582458,5.01512542427555,0.8949704969565218,0.59156,1.0,0.8766666666666666,ok
4,2.0,2,44,15,200,3000,8,182.22308039665222,5.080795480497298,0.8878936718478261,0.56318,1.0,0.9106666666666666,ok
4,2.0,3,44,15,200,,8,193.81472444534302,1000000000.0,,,,,train_failed
4,2.0,4,44,15,200,3000,8,100.73398947715759,4.700546852077582,0.9093983835869563,0.62658,1.0,0.9530000000000001,ok
4,2.0,5,44,15,200,3000,8,154.72037744522095,5.063631771536288,0.8873429707608695,0.55293,1.0,0.8756666666666666,ok
4,3.0,1,44,15,200,,8,72.86207437515259,1000000000.0,,,,,train_failed
4,3.0,2,44,15,200,,8,132.24553561210632,1000000000.0,,,,,train_failed
4,3.0,3,44,15,200,3000,8,154.9398295879364,5.074849025520987,0.8864516678260869,0.56122,1.0,0.88,ok
4,3.0,4,44,15,200,3000,8,117.49663639068604,4.928281700189724,0.8934218186956522,0.54771,1.0,0.8836666666666666,ok
4,3.0,5,44,15,200,,8,105.08825302124023,1000000000.0,,,,,train_failed
4,5.0,1,44,15,200,3000,8,108.13126468658447,4.8150445884098705,0.8907922492391305,0.54289,0.9333333333333333,0.7186666666666666,ok
4,5.0,2,44,15,200,3000,8,68.58451747894287,5.157247050317129,0.8757043982608695,0.50562,1.0,0.8146666666666667,ok
4,5.0,3,44,15,200,3000,8,97.90231394767761,4.7512351135995265,0.8924995630434782,0.61167,1.0,0.79,ok
4,5.0,4,44,15,200,3000,8,56.141873836517334,5.323555993066361,0.8558524120652173,0.52026,1.0,0.8346666666666667,ok
4,5.0,5,44,15,200,,8,98.7482693195343,1000000000.0,,,,,train_failed
4,8.0,1,44,15,200,,8,87.4132080078125,1000000000.0,,,,,train_failed
4,8.0,2,44,15,200,3000,8,44.42523121833801,5.067620560092373,0.8754088979347826,0.62181,0.8666666666666667,0.7330000000000001,ok
4,8.0,3,44,15,200,3000,8,58.58646106719971,4.833012647744254,0.8811693407608696,0.40872,0.9333333333333333,0.6973333333333335,ok
