nh,param_bound,run,val_nll,auc,time_sec,status
1,12,4,5.0925,0.8986,58.2,ok
1,12,5,4.1964,0.9353,56.2,ok
1,13,1,4.2177,0.924,54.0,ok
1,13,2,5.1274,0.896,60.0,ok
1,13,3,5.0966,0.8954,54.8,ok
1,13,4,4.4329,0.9258,58.3,ok
1,13,5,5.0958,0.8962,54.1,ok
1,14,1,5.0482,0.8974,54.3,ok
1,14,2,5.1576,0.8891,53.9,ok
1,14,3,5.1656,0.8877,57.0,ok
1,14,4,4.4429,0.9106,53.9,ok
1,14,5,5.109,0.8947,55.3,ok
1,15,1,5.368,0.8766,62.1,ok
1,15,2,5.0691,0.8951,54.0,ok
1,15,3,4.0055,0.9417,55.1,ok
1,15,4,5.4911,0.8646,55.4,ok
1,15,5,5.305,0.8805,62.3,ok
2,11,1,4.5583,0.9076,69.5,ok
2,11,2,5.1261,0.8882,68.2,ok
2,11,3,5.464,0.8729,70.7,ok
2,11,4,4.0411,0.9281,70.0,ok
2,11,5,5.3084,0.8821,71.6,ok
2,12,1,5.1963,0.8908,65.8,ok
2,12,2,4.3718,0.9238,71.6,ok
2,12,3,4.6963,0.9133,65.4,ok
2,12,4,4.2248,0.9229,67.9,ok
2,12,5,4.2254,0.9145,71.2,ok
2,13,1,4.4431,0.8968,68.4,ok
2,13,2,4.8946,0.8897,72.2,ok
2,13,3,4.7902,0.8835,63.3,ok
2,13,4,5.7639,0.8632,73.7,ok
2,13,5,5.4283,0.8798,67.7,ok
2,14,1,4.7468,0.9124,74.2,ok
2,14,2,4.2485,0.9182,67.8,ok
2,14,3,5.3773,0.8801,69.2,ok
2,14,4,4.6502,0.9144,75.0,ok
2,14,5,4.6731,0.9066,71.4,ok
2,15,1,5.6299,0.8748,67.4,ok
2,15,2,4.1787,0.9203,69.9,ok
2,15,3,5.0557,0.8751,69.6,ok
2,15,4,4.2814,0.9156,72.1,ok
2,15,5,5.1428,0.8901,70.9,ok
3,11,1,4.7248,0.8984,95.5,ok
3,11,2,3.4639,0.9485,80.6,ok
3,11,3,3.8911,0.93,84.9,ok
3,11,4,3.6825,0.947,85.8,ok
3,11,5,4.3433,0.9226,86.5,ok
